Teks_Asli,Cleaned_Message,Label_Validasi
di meja bg,di meja bg,lainnya
kdg di kasur si bg,kdg di kasur si bg,lainnya
oke bg,oke bg,setuju
setelah matkul saya bawa ya bg,setelah matkul saya bawa ya bg,lainnya
ohh gitu ya bg,ohh gitu ya bg,lainnya
nah klo mislny biar dia ga kepanasan tu gmn bg cara mencegahnya?,nah klo mislny biar dia ga kepanasan tu gmn bg cara mencegahnya,lainnya
jujur saya bru pertama kli kenak gini bg😭,jujur saya bru pertama kli kenak gini bg,lainnya
okei bg terimakasih ya,okei bg terimakasih ya,setuju
bsk mungkin pagi atau sore saya ambil laptopnya,bsk mungkin pagi atau sore saya ambil laptopnya,lainnya
Oke Bg,oke bg,setuju
Ini bg,ini bg,lainnya
Oke bg malam ya,oke bg malam ya,setuju
iyaa okeey,iyaa okeey,setuju
jambrp tutup toko?,jambrp tutup toko,lainnya
selesai ibadah saya ambil,selesai ibadah saya ambil,lainnya
Ok,ok,lainnya
"besok saya ambil leptop nya ,hujan kak",besok saya ambil leptop nya hujan kak,lainnya
Ok siap,ok siap,lainnya
"Waalaikumsalam..
iya baik Kak, sekitar jam 4 lewat saya ke toko ya Kak.
🙏🏻",waalaikumsalam iya baik kak sekitar jam lewat saya ke toko ya kak,lainnya
"Waalaikumsalam, baik Bang, terimakasih Bang",waalaikumsalam baik bang terimakasih bang,lainnya
Ok,ok,lainnya
Kapan bisa diambil,kapan bisa diambil,lainnya
Ok kpn jadinya,ok kpn jadinya,lainnya
Ok,ok,lainnya
Sdh selesai apa blm dik Laptopnya,sdh selesai apa blm dik laptopnya,lainnya
Ok,ok,lainnya
Sdh sementata,sdh sementata,lainnya
Oke bg saye infokan ke ibu saye dlu ye,oke bg saye infokan ke ibu saye dlu ye,setuju
Boleh bg,boleh bg,setuju
Kapan bisa di ambil?,kapan bisa di ambil,lainnya
Oke bg info jak nanti ye,oke bg info jak nanti ye,setuju
Oke bg,oke bg,setuju
400 kan bg?,kan bg,lainnya
Bg saye ndk bwa nota ni ndk ape ke ngambek e,bg saye ndk bwa nota ni ndk ape ke ngambek e,lainnya
Besok pagi/siang saye ambil bg,besok pagisiang saye ambil bg,lainnya
Ok bentar lagi saya ke situ,ok bentar lagi saya ke situ,lainnya
Sip bang,sip bang,lainnya
"Waalaikumsalam, ini sudah diperbaiki atau belum bg?",waalaikumsalam ini sudah diperbaiki atau belum bg,lainnya
Oh oke sebentar ya,oh oke sebentar ya,setuju
Ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya?,ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya,lainnya
"Bg dibenerin aja lh
Kira2 ada garansiny ndk bg?",bg dibenerin aja lh kira ada garansiny ndk bg,lainnya
Okke bg,okke bg,lainnya
Kira2 sore ini bisa diambil ndk bg?,kira sore ini bisa diambil ndk bg,lainnya
Oke,oke,setuju
Okke sore ya,okke sore ya,lainnya
Okok mas,okok mas,lainnya
"selamat malam juga bang, tadi saya udah kasih tau orang tua untuk biayanya. Kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko",selamat malam juga bang tadi saya udah kasih tau orang tua untuk biayanya kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko,lainnya
okee bangg,okee bangg,setuju
"Salam sehat. Terimakasih telah menghubungi kami dr.Budhi Febrian PJ Sp.N AIFO-K. 

Untuk berkonsultasi, silahkan tinggalkan pesan chat atau pesan suara terkait jenis keluhan gejala penyakit, riwayat penyakit dan riwayat berobat/ obat yang sudah diminum. 

Kami akan segera analisa dan menjawab pertanyaan tersebut serta menjadwalkan telepon atau video call bila diperlukan. 

Kami siap membantu agar lekas sembuh.
Insyaa Allah.",salam sehat terimakasih telah menghubungi kami drbudhi febrian pj spn aifok untuk berkonsultasi silahkan tinggalkan pesan chat atau pesan suara terkait jenis keluhan gejala penyakit riwayat penyakit dan riwayat berobat obat yang sudah diminum kami akan segera analisa dan menjawab pertanyaan tersebut serta menjadwalkan telepon atau video call bila diperlukan kami siap membantu agar lekas sembuh insyaa allah,lainnya
"*Program Cegah Stroke*
Jangan sepelekan tekanan darah tinggi berulang lebih dari 130/90mmhg disertai dengan nyeri kepala (migrain berulang) maupun pusing berputar (vertigo) atau ngambang (vertigo central) bila disertai dengan riwayat pandangan gelap atau berkunang kunang atau kesemutan (neuropati) artinya aliran darah ke otak kurang lancar (vertebrobasilar artery sindrome) gejala awal stroke.
Terlebih ada riwayat gula darah tinggi >150mg/dl (diabetes), segera konsultasi. Biaya GRATIS/ Seikhlasnya.",program cegah stroke jangan sepelekan tekanan darah tinggi berulang lebih dari mmhg disertai dengan nyeri kepala migrain berulang maupun pusing berputar vertigo atau ngambang vertigo central bila disertai dengan riwayat pandangan gelap atau berkunang kunang atau kesemutan neuropati artinya aliran darah ke otak kurang lancar vertebrobasilar artery sindrome gejala awal stroke terlebih ada riwayat gula darah tinggi mgdl diabetes segera konsultasi biaya gratis seikhlasnya,setuju
"Total semua segitu ya, Boleh. Terimakasih",total semua segitu ya boleh terimakasih,setuju
Garansi berapa lama?,garansi berapa lama,lainnya
Bisa diambil malam ini jam berapa ya paling malam?,bisa diambil malam ini jam berapa ya paling malam,lainnya
Baik terimakasih,baik terimakasih,lainnya
Baik ditunggu infonya,baik ditunggu infonya,lainnya
"Saya baru bisa ambil sekarang, kalau besok pagi atau siang bisa diambil jam berapa?",saya baru bisa ambil sekarang kalau besok pagi atau siang bisa diambil jam berapa,lainnya
"Baik terimakasih infonya, saya ambil besok pagi saja",baik terimakasih infonya saya ambil besok pagi saja,lainnya
"Baik, Tapi malam ini sudah selesaikan pak seperti kesepakatan kita tadi malam ?",baik tapi malam ini sudah selesaikan pak seperti kesepakatan kita tadi malam,lainnya
"Siap, malam ya bang.",siap malam ya bang,lainnya
sore bentar yaa kak,sore bentar yaa kak,lainnya
bisa nego ga kk,bisa nego ga kk,lainnya
500 nda bisa ya,nda bisa ya,lainnya
550 berati ya,berati ya,lainnya
bole kak perkiraan kapan selesai kk,bole kak perkiraan kapan selesai kk,lainnya
iya kak soalnya mau pulang kampung,iya kak soalnya mau pulang kampung,lainnya
"siap kak, nnti balik kesini lagi saya ambil nya kk",siap kak nnti balik kesini lagi saya ambil nya kk,lainnya
Ok,ok,lainnya
"Bg, mo tanya laptop saya kira² selesai kapan ye?",bg mo tanya laptop saya kira selesai kapan ye,lainnya
Okeoke,okeoke,setuju
"Bg, saya ambil laptop sore hr ini ya. Dkt² magrib kek nya",bg saya ambil laptop sore hr ini ya dkt magrib kek nya,lainnya
Bg,bg,lainnya
baik bang saya mau🙏,baik bang saya mau,lainnya
kira² laptopnya bisa diambil kapan ya?,kira laptopnya bisa diambil kapan ya,lainnya
baik bang terimakasih🙏,baik bang terimakasih,lainnya
baik pak nanti agak sore saya ambil kesitu,baik pak nanti agak sore saya ambil kesitu,lainnya
waw cepet banget,waw cepet banget,lainnya
besok aja ya kak saya ngambil nya saya lagi diluar Pontianak,besok aja ya kak saya ngambil nya saya lagi diluar pontianak,lainnya
agak malaman ya bang sy ngambilnya,agak malaman ya bang sy ngambilnya,setuju
"Siang bang, jumatan kah hr ini? Jm brp buka lagi?",siang bang jumatan kah hr ini jm brp buka lagi,lainnya
"Wa'alaikumussalam bg, November kmaren bg",waalaikumussalam bg november kmaren bg,lainnya
"Oke lh bg, tapi itu kira2 matot atau casnya bg yg bermasalah kira2",oke lh bg tapi itu kira matot atau casnya bg yg bermasalah kira,setuju
waduh,waduh,lainnya
jadi gmna tu bg,jadi gmna tu bg,lainnya
kalau dikosongin aja bisa ga itu ya bg,kalau dikosongin aja bisa ga itu ya bg,lainnya
gapapa,gapapa,lainnya
jadi ganti pasta aja,jadi ganti pasta aja,setuju
brpaan kira kira gantinya tu bg,brpaan kira kira gantinya tu bg,setuju
baik,baik,lainnya
itu ssdnya upgrade atau ganti yg sama kak,itu ssdnya upgrade atau ganti yg sama kak,setuju
"baik bg, nanti saya info kembali soal jadi atau nga nya ya bg🙏🏻",baik bg nanti saya info kembali soal jadi atau nga nya ya bg,lainnya
bisa tukar tambah ga ya bg😁,bisa tukar tambah ga ya bg,lainnya
oke baik bg,oke baik bg,setuju
Ok,ok,lainnya
Okok siap bg,okok siap bg,lainnya
"okeyy bangg, makasihh banyakk",okeyy bangg makasihh banyakk,setuju
nanti saya ambil ya,nanti saya ambil ya,lainnya
buka sampai jam berapa bang,buka sampai jam berapa bang,lainnya
okeyy,okeyy,setuju
baik bg besok siang saya ambil,baik bg besok siang saya ambil,lainnya
udh tipis tu ap nye ye bg yg tipis klo boleh tau,udh tipis tu ap nye ye bg yg tipis klo boleh tau,setuju
framenye bakal pecah agi klo udh diperbaiki?,framenye bakal pecah agi klo udh diperbaiki,lainnya
klo mau ganti frame berape ye bg,klo mau ganti frame berape ye bg,setuju
untuk layarnye aman nd bg? abang udh cobe hidupin belum?,untuk layarnye aman nd bg abang udh cobe hidupin belum,setuju
sepaket gimne tu bg?,sepaket gimne tu bg,lainnya
dengan layar nye juga ye bg,dengan layar nye juga ye bg,lainnya
emm oke bg makasi bg,emm oke bg makasi bg,setuju
bise ke abng cek kan lcd nye sekalian,bise ke abng cek kan lcd nye sekalian,lainnya
kenak harga brp bang kalo ganti frame depan belakang,kenak harga brp bang kalo ganti frame depan belakang,setuju
aman lcd nya kan bang,aman lcd nya kan bang,setuju
keyboard ny masih nd bise ke bang,keyboard ny masih nd bise ke bang,lainnya
touchscreen sm keyboard brarti ya,touchscreen sm keyboard brarti ya,lainnya
itu ngaruh ke lcd bang?,itu ngaruh ke lcd bang,lainnya
yg hitam tu bagian kanan nd bs kah bang,yg hitam tu bagian kanan nd bs kah bang,lainnya
bisa dibetulkan ndak tu bang?,bisa dibetulkan ndak tu bang,lainnya
yg putih bise bang,yg putih bise bang,lainnya
ohh,ohh,lainnya
yg ndk full nye k bang,yg ndk full nye k bang,lainnya
kalau keyboard 65% tu maksudnya gimanan bang,kalau keyboard tu maksudnya gimanan bang,lainnya
bise dibenarkan nd bg laptopnye,bise dibenarkan nd bg laptopnye,lainnya
frame masih kosong skrang ya bang,frame masih kosong skrang ya bang,lainnya
dimana lah tu ye bang,dimana lah tu ye bang,lainnya
bs po ndk bang,bs po ndk bang,lainnya
"sip, tolong sekali ye bg 🙏🏻🙏🏻🙏🏻",sip tolong sekali ye bg,lainnya
assalamualaikum bg untuk laptop saye gimne tu bg perkembangannye,assalamualaikum bg untuk laptop saye gimne tu bg perkembangannye,lainnya
po juga nd bise ke bg?,po juga nd bise ke bg,lainnya
oke bg makasi mungkin mingdep saye ambek laptopnye bg,oke bg makasi mungkin mingdep saye ambek laptopnye bg,setuju
bg besok saye ambek laptop e,bg besok saye ambek laptop e,lainnya
big masi buka ke,big masi buka ke,lainnya
"baik, siang ini saya ambil..",baik siang ini saya ambil,lainnya
Udh bisa diambil bg laptop nya?,udh bisa diambil bg laptop nya,lainnya
"Baik la, otw",baik la otw,lainnya
"Oalah ,hri ini sy kesana bg",oalah hri ini sy kesana bg,lainnya
ok,ok,lainnya
ok,ok,lainnya
"bg, ttup?",bg ttup,lainnya
"aduh bg, sy mau tdr awl bsok subuh plg",aduh bg sy mau tdr awl bsok subuh plg,lainnya
gmn ya,gmn ya,lainnya
ok,ok,lainnya
sya siap siap,sya siap siap,lainnya
assalamualaikum bang.. ini masih ad garansi servis gak? Soalnya laptop saya mati lagi tiba tiba gamau hidup..,assalamualaikum bang ini masih ad garansi servis gak soalnya laptop saya mati lagi tiba tiba gamau hidup,lainnya
Tapi bole gak di cek kan dlu,tapi bole gak di cek kan dlu,lainnya
Ad biaya?,ad biaya,lainnya
Dia hidup terus kek temati macam dk kuat ngangkat layarnya,dia hidup terus kek temati macam dk kuat ngangkat layarnya,lainnya
Baik bang terimakasi besok bole saya bawa kesitu ya bang,baik bang terimakasi besok bole saya bawa kesitu ya bang,lainnya
Siang. Langsung di perbaiki aja bang,siang langsung di perbaiki aja bang,lainnya
Berapa biayanya bang?,berapa biayanya bang,lainnya
Ganti aja bang,ganti aja bang,setuju
Siang. Sore ya bang saya ngambil leptopnya,siang sore ya bang saya ngambil leptopnya,lainnya
keyboard agik y bang,keyboard agik y bang,lainnya
3 kali dh😂,kali dh,lainnya
brp bang kalau keyboard,brp bang kalau keyboard,lainnya
"keyboard nye saye benarkan bang, kalau saye tukar tambah dngn laptop yg 2.500 nambah brp kire kire bang?",keyboard nye saye benarkan bang kalau saye tukar tambah dngn laptop yg nambah brp kire kire bang,lainnya
okey bang,okey bang,setuju
bangg,bangg,lainnya
sudah buka kah hari ini?,sudah buka kah hari ini,lainnya
"laptop yg kemarin nd hidup lagi bang, udah di cas berjam jam jga nd mau hidup",laptop yg kemarin nd hidup lagi bang udah di cas berjam jam jga nd mau hidup,lainnya
mau minta tolong liatkan lagi,mau minta tolong liatkan lagi,lainnya
hari ini buka kah bang?,hari ini buka kah bang,lainnya
terimakasih bang🙏🏻,terimakasih bang,lainnya
oke ka jam 4/5 ya saya ambil,oke ka jam ya saya ambil,setuju
permisi bang,permisi bang,lainnya
"bang kemarin pas adik saya buka laptop touchpadny gabisa pake,kenapa ya?",bang kemarin pas adik saya buka laptop touchpadny gabisa pakekenapa ya,lainnya
kalau pakai mouse bisa,kalau pakai mouse bisa,lainnya
ini notany bang,ini notany bang,lainnya
mana bang,mana bang,lainnya
gabisa juga bang,gabisa juga bang,lainnya
soalny dikapuas hulu bang,soalny dikapuas hulu bang,lainnya
boleh bang,boleh bang,setuju
dikirim aja,dikirim aja,lainnya
sudah bisa,sudah bisa,lainnya
makasi ya bang,makasi ya bang,lainnya
Baik bang,baik bang,lainnya
"Waalaikumsallam bg, kalau ganti hardisk apakah file’dilaptop nya hilang bg",waalaikumsallam bg kalau ganti hardisk apakah filedilaptop nya hilang bg,setuju
Okei bg saya tanya orng rumah dulu nnti saya kabari lagii,okei bg saya tanya orng rumah dulu nnti saya kabari lagii,setuju
Instal ulang dulu yak bg untuk sementara ini,instal ulang dulu yak bg untuk sementara ini,lainnya
Instal ulang brp bang?,instal ulang brp bang,lainnya
Kalau instal ulang nda hilangkan file’nye bg,kalau instal ulang nda hilangkan filenye bg,lainnya
Iya bolehh bg instal ulang aja,iya bolehh bg instal ulang aja,setuju
Besok siang ya bang saya ambil nda pape ke?,besok siang ya bang saya ambil nda pape ke,lainnya
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal pak",sya konsul dlu sama ortu ternyata gak dibolehin batal pak,batal
Bisa kurang gak pak?,bisa kurang gak pak,lainnya
"Coba tanya temen dlu ya pak, mahal jg tnyata",coba tanya temen dlu ya pak mahal jg tnyata,batal
"Wah diluar budget pak, batal ya",wah diluar budget pak batal ya,batal
"Yaudah gpp pak, gak jadi diperbaiki",yaudah gpp pak gak jadi diperbaiki,lainnya
Kira–kira kapan bisa diambil pak?,kirakira kapan bisa diambil pak,lainnya
Diskon dikit boleh pak?,diskon dikit boleh pak,setuju
"Budget sya gak nyampe segitu pak, batal aja lah",budget sya gak nyampe segitu pak batal aja lah,batal
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal kak",sya konsul dlu sama ortu ternyata gak dibolehin batal kak,batal
Laptop nya boleh diambil kapan kak?,laptop nya boleh diambil kapan kak,setuju
"Iya kak jadi, penting bisa dipake lagi",iya kak jadi penting bisa dipake lagi,lainnya
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya
Kalau service printer disini bisa juga gak bg?,kalau service printer disini bisa juga gak bg,lainnya
Ok makasih infonya,ok makasih infonya,lainnya
"Yaudah gpp bg, gak jadi diperbaiki",yaudah gpp bg gak jadi diperbaiki,lainnya
"Kemahalan e bang, sya coba tempat lain dulu",kemahalan e bang sya coba tempat lain dulu,batal
"Yaudah gpp bu, gak jadi diperbaiki",yaudah gpp bu gak jadi diperbaiki,lainnya
Diskon dikit boleh bg?,diskon dikit boleh bg,setuju
Sya pikir2 dlu bg,sya pikir dlu bg,lainnya
"Ok sip, lanjut ganti nya bu",ok sip lanjut ganti nya bu,setuju
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya
Diskon dikit boleh bang?,diskon dikit boleh bang,setuju
"Budget sya gak nyampe segitu bang, batal aja lah",budget sya gak nyampe segitu bang batal aja lah,batal
Bisa kurang gak bang?,bisa kurang gak bang,lainnya
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal bang",sya konsul dlu sama ortu ternyata gak dibolehin batal bang,batal
"Budget sya gak nyampe segitu bg, batal aja lah",budget sya gak nyampe segitu bg batal aja lah,batal
Sya pikir2 dlu pak,sya pikir dlu pak,lainnya
Diskon dikit boleh bg?,diskon dikit boleh bg,setuju
"Yaudah gpp bg, gak jadi diperbaiki",yaudah gpp bg gak jadi diperbaiki,lainnya
"Coba tanya temen dlu ya bang, mahal jg tnyata",coba tanya temen dlu ya bang mahal jg tnyata,batal
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya kak",duh ternyata harga laptop baru gak beda jauh gak jadi ya kak,lainnya
"Oke pak, jadi diperbaiki",oke pak jadi diperbaiki,setuju
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya
Bisa kurang gak bu?,bisa kurang gak bu,lainnya
"Coba tanya temen dlu ya bu, mahal jg tnyata",coba tanya temen dlu ya bu mahal jg tnyata,batal
Laptop nya boleh diambil kapan bu?,laptop nya boleh diambil kapan bu,setuju
"Ok sip, lanjut ganti nya kak",ok sip lanjut ganti nya kak,setuju
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya
"Mahal amat bu, kurangin dong",mahal amat bu kurangin dong,batal
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya bu",duh ternyata harga laptop baru gak beda jauh gak jadi ya bu,lainnya
Diskon dikit boleh bu?,diskon dikit boleh bu,setuju
"Waduh mahal ya bu, gak jadi dulu deh",waduh mahal ya bu gak jadi dulu deh,batal
Oh gitu kak. Btw kalau jual laptop bekas disini bisa gak kak?,oh gitu kak btw kalau jual laptop bekas disini bisa gak kak,lainnya
Ok makasih infonya,ok makasih infonya,lainnya
"Yaudah gpp kak, gak jadi diperbaiki",yaudah gpp kak gak jadi diperbaiki,lainnya
Diskon dikit boleh bg?,diskon dikit boleh bg,setuju
"Kemahalan e bg, sya coba tempat lain dulu",kemahalan e bg sya coba tempat lain dulu,batal
Laptop nya boleh diambil kapan bg?,laptop nya boleh diambil kapan bg,setuju
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal bang",sya konsul dlu sama ortu ternyata gak dibolehin batal bang,batal
"Mahal amat kak, kurangin dong",mahal amat kak kurangin dong,batal
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal kak",sya konsul dlu sama ortu ternyata gak dibolehin batal kak,batal
"Oke pak, jadi diperbaiki",oke pak jadi diperbaiki,setuju
Ok pak makasih,ok pak makasih,lainnya
"Gpp dh bg, gak usah diperbaiki, laptop e udh lama juga",gpp dh bg gak usah diperbaiki laptop e udh lama juga,lainnya
"Nanti aja dlu bu, blm ada uang",nanti aja dlu bu blm ada uang,lainnya
Kira–kira kapan bisa diambil bu?,kirakira kapan bisa diambil bu,lainnya
"Mahal amat bang, kurangin dong",mahal amat bang kurangin dong,batal
"Gak jadi bang, uangnya mau dipake keperluan lain dlu",gak jadi bang uangnya mau dipake keperluan lain dlu,lainnya
"Boleh, kapan bisa selesai bu",boleh kapan bisa selesai bu,setuju
Ok bu makasih,ok bu makasih,lainnya
"Mahal amat bu, kurangin dong",mahal amat bu kurangin dong,batal
"Budget sya gak nyampe segitu bu, batal aja lah",budget sya gak nyampe segitu bu batal aja lah,batal
Laptop nya boleh diambil kapan bu?,laptop nya boleh diambil kapan bu,setuju
"Gak jadi bg, uangnya mau dipake keperluan lain dlu",gak jadi bg uangnya mau dipake keperluan lain dlu,lainnya
"Budget sya gak nyampe segitu bg, batal aja lah",budget sya gak nyampe segitu bg batal aja lah,batal
"Yaudah gpp kak, gak jadi diperbaiki",yaudah gpp kak gak jadi diperbaiki,lainnya
"Kemahalan e bu, sya coba tempat lain dulu",kemahalan e bu sya coba tempat lain dulu,batal
Bisa kurang gak bang?,bisa kurang gak bang,lainnya
Sya pikir2 dlu bang,sya pikir dlu bang,lainnya
Laptop nya boleh diambil kapan bang?,laptop nya boleh diambil kapan bang,setuju
Diskon dikit boleh bu?,diskon dikit boleh bu,setuju
"Nanti aja dlu bu, blm ada uang",nanti aja dlu bu blm ada uang,lainnya
Bisa kurang gak bu?,bisa kurang gak bu,lainnya
"Budget sya gak nyampe segitu bu, batal aja lah",budget sya gak nyampe segitu bu batal aja lah,batal
Diskon dikit boleh kak?,diskon dikit boleh kak,setuju
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya kak",duh ternyata harga laptop baru gak beda jauh gak jadi ya kak,lainnya
Laptop nya boleh diambil kapan kak?,laptop nya boleh diambil kapan kak,setuju
"Mahal amat bg, kurangin dong",mahal amat bg kurangin dong,batal
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya bg",duh ternyata harga laptop baru gak beda jauh gak jadi ya bg,lainnya
Diskon dikit boleh kak?,diskon dikit boleh kak,setuju
"Waduh mahal ya kak, gak jadi dulu deh",waduh mahal ya kak gak jadi dulu deh,batal
"Ok jadi bu, tolong dikerjain ya",ok jadi bu tolong dikerjain ya,lainnya
Ok makasih,ok makasih,lainnya
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal pak",sya konsul dlu sama ortu ternyata gak dibolehin batal pak,batal
Kira–kira kapan bisa diambil pak?,kirakira kapan bisa diambil pak,lainnya
"Oke kak, jadi diperbaiki",oke kak jadi diperbaiki,setuju
Ok kak makasih,ok kak makasih,lainnya
Diskon dikit boleh bu?,diskon dikit boleh bu,setuju
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal bu",sya konsul dlu sama ortu ternyata gak dibolehin batal bu,batal
Kira–kira kapan bisa diambil bu?,kirakira kapan bisa diambil bu,lainnya
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal bg",sya konsul dlu sama ortu ternyata gak dibolehin batal bg,batal
Bisa kurang gak bu?,bisa kurang gak bu,lainnya
Sya pikir2 dlu bu,sya pikir dlu bu,lainnya
"Yaudah gpp kak, gak jadi diperbaiki",yaudah gpp kak gak jadi diperbaiki,lainnya
"Ok sip, lanjut ganti nya bu",ok sip lanjut ganti nya bu,setuju
Ok makasih,ok makasih,lainnya
Bisa kurang gak kak?,bisa kurang gak kak,lainnya
"Wah diluar budget kak, batal ya",wah diluar budget kak batal ya,batal
Diskon dikit boleh bg?,diskon dikit boleh bg,setuju
"Sya konsul dlu sama ortu, ternyata gak dibolehin, batal bg",sya konsul dlu sama ortu ternyata gak dibolehin batal bg,batal
Laptop nya boleh diambil kapan bg?,laptop nya boleh diambil kapan bg,setuju
Bisa kurang gak kak?,bisa kurang gak kak,lainnya
"Gak jadi kak, uangnya mau dipake keperluan lain dlu",gak jadi kak uangnya mau dipake keperluan lain dlu,lainnya
Bisa kurang gak pak?,bisa kurang gak pak,lainnya
"Wah diluar budget pak, batal ya",wah diluar budget pak batal ya,batal
"Yaudah gpp kak, gak jadi diperbaiki",yaudah gpp kak gak jadi diperbaiki,lainnya
Laptop nya boleh diambil kapan kak?,laptop nya boleh diambil kapan kak,setuju
"Wah diluar budget pak, batal ya",wah diluar budget pak batal ya,batal
Kira–kira kapan bisa diambil pak?,kirakira kapan bisa diambil pak,lainnya
"Waalaikumsalam, tutup jam berapa bang",waalaikumsalam tutup jam berapa bang,lainnya
Bg,bg,lainnya
Id upgrade Jak bg,id upgrade jak bg,lainnya
Yang harga 600 RB tadi,yang harga rb tadi,lainnya
Infokan ya bg kalau dh selesai,infokan ya bg kalau dh selesai,lainnya
Ok,ok,lainnya
Ok bg nanti yaa bg saya ambil nya nanti saya infokan kalau mau ngambilnya,ok bg nanti yaa bg saya ambil nya nanti saya infokan kalau mau ngambilnya,lainnya
Maaf bh baru buka hp,maaf bh baru buka hp,lainnya
Besok saya ngambil nya bg,besok saya ngambil nya bg,lainnya
Bg,bg,lainnya
Boleh di tf,boleh di tf,setuju
Duittnyaa,duittnyaa,lainnya
Orang nya mau tf,orang nya mau tf,lainnya
Kirim nmr reknya bg,kirim nmr reknya bg,lainnya
Udah yaa bg,udah yaa bg,lainnya
Siap bg,siap bg,lainnya
Jam 5 saya otw kesana bg,jam saya otw kesana bg,lainnya
Ok bg,ok bg,lainnya
Wait,wait,lainnya
Yg ini bg kan nota nya,yg ini bg kan nota nya,lainnya
Saye bru balek dri ketapang soal ny bg,saye bru balek dri ketapang soal ny bg,lainnya
Done ya bg,done ya bg,lainnya
Terima kasih bg,terima kasih bg,lainnya
Nnti barang nya saya ambil ya bg,nnti barang nya saya ambil ya bg,lainnya
Terima kasih banyak bg,terima kasih banyak bg,lainnya
Cila060817,cila,lainnya
nanti malm saya ambil ya bg,nanti malm saya ambil ya bg,lainnya
makasih banyak🙏🏻🙏🏻🙏🏻,makasih banyak,lainnya
bayarnya bisa transfer nda bang,bayarnya bisa transfer nda bang,lainnya
"assalamu'alaikum bg, laptop saya bermasalaj lgi tiap mau ngidupkanya dia itu harus pakai cas🙏🏻",assalamualaikum bg laptop saya bermasalaj lgi tiap mau ngidupkanya dia itu harus pakai cas,lainnya
sekarang di coba lgi gamau idup,sekarang di coba lgi gamau idup,lainnya
"siang kak, mau tanya ganti baterai laptop dell inspiron 5405 bs ga ya",siang kak mau tanya ganti baterai laptop dell inspiron bs ga ya,setuju
brp lama,brp lama,lainnya
brp kira2 biayanya,brp kira biayanya,lainnya
okeii boleh yaa kak,okeii boleh yaa kak,setuju
tolong sampe bisa nyaman aman sentosa yaa kak🙏🏻,tolong sampe bisa nyaman aman sentosa yaa kak,setuju
"okei kak, besok kalo udh selesai.
Kabarin aja yaa kak, Terima Kasih",okei kak besok kalo udh selesai kabarin aja yaa kak terima kasih,setuju
"okei kak, nanti saya ambil kesitu yaa",okei kak nanti saya ambil kesitu yaa,setuju
Malam ya bang,malam ya bang,lainnya
Tutup jam brp,tutup jam brp,lainnya
Oke bang,oke bang,setuju
test,test,lainnya
jadi gmn bg udh di periksa kah laptopnya?,jadi gmn bg udh di periksa kah laptopnya,lainnya
siang bg jadi gmn bg laptop nya?,siang bg jadi gmn bg laptop nya,lainnya
okey kak,okey kak,setuju
iya kak,iya kak,lainnya
siang kak jadi gmn kak laptopnya?,siang kak jadi gmn kak laptopnya,lainnya
iya kak laptop nya yg lenovo thiknpad ya kak atas nama Emil,iya kak laptop nya yg lenovo thiknpad ya kak atas nama emil,lainnya
"lcdnya ga bisa kah kak, untuk tokohnya yg pesankan untuk saya tapi untuk biayanya berapa ya ?",lcdnya ga bisa kah kak untuk tokohnya yg pesankan untuk saya tapi untuk biayanya berapa ya,lainnya
"soalnya kmrn pan juga kosong di tokoh nya cuman dipesankan sm storenya, sy pernah ganti pan nya di store kk",soalnya kmrn pan juga kosong di tokoh nya cuman dipesankan sm storenya sy pernah ganti pan nya di store kk,setuju
okey kak infokan saja ya,okey kak infokan saja ya,setuju
jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya?,jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya,lainnya
okey kak,okey kak,setuju
kl sudah ada infonya kabarin ya kak,kl sudah ada infonya kabarin ya kak,lainnya
kk gmn apa sudah ad infonya?,kk gmn apa sudah ad infonya,lainnya
gmn kak?,gmn kak,lainnya
min blm kah ini?,min blm kah ini,lainnya
itu yg dri jakarta blm konfirmasi ya?,itu yg dri jakarta blm konfirmasi ya,lainnya
bg ini kan harganya 600k kan itu apa saja bg komponen di laptopnya yg di perbaiki yg di lcdnya?,bg ini kan harganya k kan itu apa saja bg komponen di laptopnya yg di perbaiki yg di lcdnya,lainnya
