text,label
salam sehat terimakasih telah menghubungi kami drbudhi febrian pj spn aifok untuk berkonsultasi silahkan tinggalkan pesan chat atau pesan suara terkait jenis keluhan gejala penyakit riwayat penyakit dan riwayat berobat obat yang sudah diminum kami akan segera analisa dan menjawab pertanyaan tersebut serta menjadwalkan telepon atau video call bila diperlukan kami siap membantu agar lekas sembuh insyaa allah,setuju
cancel bg,batal
saya baru bisa ambil sekarang kalau besok pagi atau siang bisa diambil jam berapa,batal
alah pening kmek ni bg mnde tu orng bajak wa ngerase menang lh die kalau tau leptop saye ndk bise dipulihkan,lainnya
bang izin bertanya kira kapan selesai nya yaa,lainnya
malam ini tutup jam berapa,lainnya
pass lok bang agek kere kamek ni,batal
batal jak bang,batal
klok tk ade besok lah ye bg,batal
besok buka bg,batal
baiklah bg nanti kalau jd saya infokn,batal
nanti dulu ya kak saya cari gojek dulu,batal
tq,lainnya
misi bang udah selesai kah bang,lainnya
ok bang,setuju
baik nnti saya ke sana ya,setuju
ok masih,setuju
sama ini,lainnya
halo iy blh,setuju
min blm kah ini,lainnya
oh berarti ndak jadi ganti baterai lah ye bang,setuju
permisi bangni laptop sinyal nya lemottrs wifi nya sering tersambung ulangsering disconnect padahall wifi saya pake di hp lancaraja ntar sore bisa kah bang saya bawa laptop nya di sanabuat di setingbiar gak lemot singal nya,batal
makanya saya tidak ganti kak,batal
besok buka gak min pagi,batal
ndak usah dolo bang,batal
sikat jak bang biar kamek pakai buat nugas ari itok,setuju
bg hargenye bise dipaskan agik ndak,lainnya
bentar lagi otw bang,setuju
maaf kak kepencet,lainnya
oh boleh lh bg,lainnya
jdi yg disini hilang semua benar nd ada yg di backup,lainnya
nanti malm saya ambil ya bg,batal
ok besok saya ambil laptop nya trims,setuju
ndk bsa kek biasanye gtu ke,lainnya
bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg nah itu tu knp ya,lainnya
besok saya coba kesana ya kak,batal
okey bgkak,setuju
owh ok klo casannya ada jual juga kah bang dan harganya berapaan,setuju
kalau udh tf nanti saye kirimkan bukti nye bang,batal
besok siang saya ke toko lgi bg soal ny seklian ke kampus,batal
budget sya gak nyampe segitu bu batal aja lah,batal
pagi kk jdi kek mne kk laptopnye,lainnya
oke ka jam ya saya ambil,setuju
soalny dikapuas hulu bang,lainnya
malam bang tadi lupa nanya untuk selanjutnya agar baterainya tahan lama dan nda rusak lagi gimana ya pemeliharannya,lainnya
ambil skrg buka nda bg,lainnya
gass bah min cepatkan sikit ye soale saye nak ujian,setuju
baik bang nanti sore diambilnya,setuju
oke gas bg,setuju
oke min,setuju
ok kk terimakasih ya,setuju
budget sya gak nyampe segitu pak batal aja lah,batal
oke kak,setuju
terima kasih bg,lainnya
jm brp storenya tutup kak,lainnya
alahmakk kenak dah lcd nye ye nd apelah bang gas jak biar cepat betol nye kalo bise hari ini ye bang,setuju
bang bise beso ke ngambil laptobnya,lainnya
nanti kalau sudah selesai kasi tau ya kak,batal
td saye taruh dstu si bg,lainnya
ly bang,lainnya
klo cas laptop acer berapa,lainnya
sore bang saya jadi pesan baterai utk laptop advan saya bang,setuju
oke toko tutup jam berape,setuju
wa saye dipake orng yg nd bertangong jwb bg,lainnya
malam bang hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya,batal
iya santai jak kak,setuju
lahmak maaf ye bang kayaknye belom dulu lah ni blm ad duet ny,batal
siang bang jumatan kah hr ini jm brp buka lagi,lainnya
oke besok saye kesana bang,setuju
waalaikumsalam baik bang terimakasih bang,setuju
baik pak akan saya ambil ya,setuju
ok makasih infonya,setuju
iye bng,lainnya
boleh katanya bg,lainnya
okee deh kalau gitu sekalian besok siang jak lah bang,setuju
yaudah gpp bu gak jadi diperbaiki,setuju
oke kak nanti saya kabarin lagi masi mau nyarinyari laptop secund soalnya sama mau nabung dulu,setuju
bise nego ndak tu kak,lainnya
oke bg bentar lagi saya kesana,setuju
sya konsul dlu sama ortu ternyata gak dibolehin batal bang,batal
okelah bang ganti jak lok yg rusak tu,setuju
apk nya terapus semua nda bang,lainnya
laptonya udh boleh diambil kah bg,lainnya
tunda lok ye bang keperluan agek banyak bulan itok,batal
okee min,setuju
oh ok lh terimakasih ya bg,setuju
okelah bang lanjot jak tpi saye nak nengok lok komponen rusaknya nnti,setuju
malam bang apakah laptopnya sudah selesai dikerjakan dan dapat diambil,lainnya
yang patah tuu,lainnya
malam masih buka gak,batal
bg bukak dari jam berape besok,lainnya
okey jam an sya kesana,setuju
klau yg baru berapa kak,lainnya
soalny tiap saya tinggl bntr laptop tu tibe blue screen trs file ny tu terapus yg udh saya kerjakan,lainnya
oke bang tutup jam brapa,setuju
nda jadi,batal
kalu malm bisa diambil ndk bang,lainnya
aok bang lanjot jak tpi bsok pagi kamek ambek bise ke,setuju
jadi harus gmn bang,setuju
oke kak info jak,setuju
bg dibenerin aja lh kira ada garansiny ndk bg,lainnya
kalo emng udh nggak bisa dibetulkan biar saya ambil aja udah lama juga,lainnya
di sini bisa jual laptop seken,lainnya
tibe bise die,lainnya
aok bg gas jak bah nak cepat make kamek ni,setuju
ad bang makasih ya,lainnya
bntar yee bang saye kesitu,lainnya
perbaikannya berapa lama ya bang,lainnya
ljt yak bg,setuju
aok bg betolkan jak lok saye ngikut yak,setuju
gmn bg laptop nya,lainnya
besok siang ya bang saya ambil nda pape ke,batal
bise kurang agik ndak tu hargenye bang,lainnya
oke besok pagi saya ambil,setuju
baik kk,setuju
kaya nye di batalkan dulu bang service nya,batal
lepas aja gak masalah kan,batal
touchscreen sm keyboard brarti ya,lainnya
belom rezeki bg saye ambek balek jak dolo,batal
baterai e ndk ngpe ke bng,lainnya
sip min,setuju
itu ada disitu filenya,lainnya
sdh selesai apa blm dik laptopnya,lainnya
nnti malam atau besok bisa gak,batal
iya lah kak,setuju
bg besok yk sye ambil nd sempat hri ni,batal
klo mau ganti frame berape ye bg,lainnya
besok saya ambil ya bang,batal
bg saya tf byr ny,lainnya
jadi untuk perbaikannya apa saja ya bg,setuju
kenak harga brp bang kalo ganti frame depan belakang,lainnya
gabisa juga bang,lainnya
tarik balek,batal
oh oke sebentar ya,setuju
boleh bang gausah nambah aja bang,setuju
kak hargenye bise digoyang sikit ndak,lainnya
untk leptop advan cuma itu aja ke bg perbaikannya,lainnya
ok pak makasih,setuju
gak jadi bang uangnya mau dipake keperluan lain dlu,setuju
okee bang aman makasih bang,setuju
bg ttup,lainnya
dia tu kek nda sesuai gitu kita pencet apa munculnya apa misal saya pencet huruf o dia langsung arahkan ke folder trus pencet huruf lain langsung new tab pencet huruf lain lagi malah ke profil google kek aneh gitu,lainnya
bg kenapa laptop gini lagi ya,lainnya
tolong sampe bisa nyaman aman sentosa yaa kak,lainnya
aduh duit saye tak cukop bg ambek lok lah nnti,batal
siang bang,lainnya
abis file kuliah saye emg nd bise benar k bg nanti sye bayar,batal
oke boleh kak lnjutkan,setuju
nanti saya konfirmasi kembali,batal
lanjot jak min tolong kabarin mun dah nyale,setuju
gmn ya,lainnya
owh oke bang kemungkinan bsk saya ambil lep top nya,setuju
sepertinya semua bang,lainnya
kalau bise cepat saye bayar lebih bg,lainnya
ok siap makasih bg,setuju
makasih banyak yaa bangggg,lainnya
ok bg nanti yaa bg saya ambil nya nanti saya infokan kalau mau ngambilnya,setuju
nanti infokan saja,batal
waduh mahal ya bu gak jadi dulu deh,setuju
bisa kurang gak bang,batal
okes siap bang,setuju
iya mas perbaiki aja bsok pagi udh bisa di ambil,setuju
oke nnti saya bawa,setuju
lama sekali ke bang die,lainnya
siang bg jadi gmn bg laptop nya,setuju
