Message Body,Teks_Bersih,Label
kalau dikosongin aja bisa ga itu ya bg,kalau dikosongin aja bisa ga itu ya bg,setuju
jadi ganti pasta aja,jadi ganti pasta aja,umum_teknis
brpaan kira kira gantinya tu bg,brpaan kira kira gantinya tu bg,setuju
itu ssdnya upgrade atau ganti yg sama kak,itu ssdnya upgrade atau ganti yg sama kak,setuju
"baik bg, nanti saya info kembali soal jadi atau nga nya ya bg🙏🏻",baik bg nanti saya info kembali soal jadi atau nga nya ya bg,setuju
bisa tukar tambah ga ya bg😁,bisa tukar tambah ga ya bg,setuju
oke baik bg,oke baik bg,setuju
Ok,ok,setuju
Okok siap bg,okok siap bg,setuju
"okeyy bangg, makasihh banyakk",okeyy bangg makasihh banyakk,setuju
nanti saya ambil ya,nanti saya ambil ya,setuju
buka sampai jam berapa bang,buka sampai jam berapa bang,umum_teknis
okeyy,okeyy,setuju
baik bg besok siang saya ambil,baik bg besok siang saya ambil,setuju
framenye bakal pecah agi klo udh diperbaiki?,framenye bakal pecah agi klo udh diperbaiki,umum_teknis
klo mau ganti frame berape ye bg,klo mau ganti frame berape ye bg,umum_teknis
untuk layarnye aman nd bg? abang udh cobe hidupin belum?,untuk layarnye aman nd bg abang udh cobe hidupin belum,tanya_status
dengan layar nye juga ye bg,dengan layar nye juga ye bg,setuju
emm oke bg makasi bg,emm oke bg makasi bg,setuju
bise ke abng cek kan lcd nye sekalian,bise ke abng cek kan lcd nye sekalian,umum_teknis
kenak harga brp bang kalo ganti frame depan belakang,kenak harga brp bang kalo ganti frame depan belakang,umum_teknis
aman lcd nya kan bang,aman lcd nya kan bang,setuju
touchscreen sm keyboard brarti ya,touchscreen sm keyboard brarti ya,setuju
itu ngaruh ke lcd bang?,itu ngaruh ke lcd bang,umum_teknis
kalau keyboard 65% tu maksudnya gimanan bang,kalau keyboard 65 tu maksudnya gimanan bang,setuju
frame masih kosong skrang ya bang,frame masih kosong skrang ya bang,setuju
"sip, tolong sekali ye bg 🙏🏻🙏🏻🙏🏻",sip tolong sekali ye bg,setuju
oke bg makasi mungkin mingdep saye ambek laptopnye bg,oke bg makasi mungkin mingdep saye ambek laptopnye bg,setuju
bg besok saye ambek laptop e,bg besok saye ambek laptop e,setuju
big masi buka ke,big masi buka ke,umum_teknis
"baik, siang ini saya ambil..",baik siang ini saya ambil,setuju
Udh bisa diambil bg laptop nya?,udh bisa diambil bg laptop nya,setuju
ok,ok,setuju
ok,ok,setuju
"aduh bg, sy mau tdr awl bsok subuh plg",aduh bg sy mau tdr awl bsok subuh plg,setuju
gmn ya,gmn ya,setuju
ok,ok,setuju
sya siap siap,sya siap siap,setuju
assalamualaikum bang.. ini masih ad garansi servis gak? Soalnya laptop saya mati lagi tiba tiba gamau hidup..,assalamualaikum bang ini masih ad garansi servis gak soalnya laptop saya mati lagi tiba tiba gamau hidup,setuju
Ad biaya?,ad biaya,setuju
Dia hidup terus kek temati macam dk kuat ngangkat layarnya,dia hidup terus kek temati macam dk kuat ngangkat layarnya,setuju
Baik bang terimakasi besok bole saya bawa kesitu ya bang,baik bang terimakasi besok bole saya bawa kesitu ya bang,setuju
Berapa biayanya bang?,berapa biayanya bang,setuju
Ganti aja bang,ganti aja bang,umum_teknis
Siang. Sore ya bang saya ngambil leptopnya,siang sore ya bang saya ngambil leptopnya,setuju
okey bang,okey bang,setuju
sudah buka kah hari ini?,sudah buka kah hari ini,umum_teknis
"laptop yg kemarin nd hidup lagi bang, udah di cas berjam jam jga nd mau hidup",laptop yg kemarin nd hidup lagi bang udah di cas berjam jam jga nd mau hidup,umum_teknis
hari ini buka kah bang?,hari ini buka kah bang,umum_teknis
oke ka jam 4/5 ya saya ambil,oke ka jam 45 ya saya ambil,setuju
"bang kemarin pas adik saya buka laptop touchpadny gabisa pake,kenapa ya?",bang kemarin pas adik saya buka laptop touchpadny gabisa pakekenapa ya,setuju
makasi ya bang,makasi ya bang,setuju
"Waalaikumsallam bg, kalau ganti hardisk apakah file’dilaptop nya hilang bg",waalaikumsallam bg kalau ganti hardisk apakah filedilaptop nya hilang bg,setuju
Okei bg saya tanya orng rumah dulu nnti saya kabari lagii,okei bg saya tanya orng rumah dulu nnti saya kabari lagii,setuju
Instal ulang dulu yak bg untuk sementara ini,instal ulang dulu yak bg untuk sementara ini,setuju
Iya bolehh bg instal ulang aja,iya bolehh bg instal ulang aja,setuju
Besok siang ya bang saya ambil nda pape ke?,besok siang ya bang saya ambil nda pape ke,setuju
"Waalaikumsalam, tutup jam berapa bang",waalaikumsalam tutup jam berapa bang,umum_teknis
Yang harga 600 RB tadi,yang harga 600 rb tadi,setuju
Infokan ya bg kalau dh selesai,infokan ya bg kalau dh selesai,tanya_status
Ok,ok,setuju
Ok bg nanti yaa bg saya ambil nya nanti saya infokan kalau mau ngambilnya,ok bg nanti yaa bg saya ambil nya nanti saya infokan kalau mau ngambilnya,setuju
Maaf bh baru buka hp,maaf bh baru buka hp,umum_teknis
Besok saya ngambil nya bg,besok saya ngambil nya bg,setuju
Duittnyaa,duittnyaa,setuju
Orang nya mau tf,orang nya mau tf,setuju
Kirim nmr reknya bg,kirim nmr reknya bg,setuju
Udah yaa bg,udah yaa bg,setuju
Jam 5 saya otw kesana bg,jam 5 saya otw kesana bg,setuju
Ok bg,ok bg,setuju
Yg ini bg kan nota nya,yg ini bg kan nota nya,setuju
Done ya bg,done ya bg,setuju
Nnti barang nya saya ambil ya bg,nnti barang nya saya ambil ya bg,setuju
Terima kasih banyak bg,terima kasih banyak bg,setuju
nanti malm saya ambil ya bg,nanti malm saya ambil ya bg,setuju
makasih banyak🙏🏻🙏🏻🙏🏻,makasih banyak,setuju
bayarnya bisa transfer nda bang,bayarnya bisa transfer nda bang,setuju
"assalamu'alaikum bg, laptop saya bermasalaj lgi tiap mau ngidupkanya dia itu harus pakai cas🙏🏻",assalamualaikum bg laptop saya bermasalaj lgi tiap mau ngidupkanya dia itu harus pakai cas,setuju
"siang kak, mau tanya ganti baterai laptop dell inspiron 5405 bs ga ya",siang kak mau tanya ganti baterai laptop dell inspiron 5405 bs ga ya,setuju
brp kira2 biayanya,brp kira2 biayanya,setuju
okeii boleh yaa kak,okeii boleh yaa kak,setuju
tolong sampe bisa nyaman aman sentosa yaa kak🙏🏻,tolong sampe bisa nyaman aman sentosa yaa kak,setuju
"okei kak, besok kalo udh selesai.
Kabarin aja yaa kak, Terima Kasih",okei kak besok kalo udh selesai kabarin aja yaa kak terima kasih,tanya_status
"okei kak, nanti saya ambil kesitu yaa",okei kak nanti saya ambil kesitu yaa,setuju
Malam ya bang,malam ya bang,setuju
Tutup jam brp,tutup jam brp,umum_teknis
Oke bang,oke bang,setuju
jadi gmn bg udh di periksa kah laptopnya?,jadi gmn bg udh di periksa kah laptopnya,setuju
siang bg jadi gmn bg laptop nya?,siang bg jadi gmn bg laptop nya,setuju
okey kak,okey kak,setuju
iya kak,iya kak,setuju
siang kak jadi gmn kak laptopnya?,siang kak jadi gmn kak laptopnya,setuju
iya kak laptop nya yg lenovo thiknpad ya kak atas nama Emil,iya kak laptop nya yg lenovo thiknpad ya kak atas nama emil,setuju
"lcdnya ga bisa kah kak, untuk tokohnya yg pesankan untuk saya tapi untuk biayanya berapa ya ?",lcdnya ga bisa kah kak untuk tokohnya yg pesankan untuk saya tapi untuk biayanya berapa ya,setuju
"soalnya kmrn pan juga kosong di tokoh nya cuman dipesankan sm storenya, sy pernah ganti pan nya di store kk",soalnya kmrn pan juga kosong di tokoh nya cuman dipesankan sm storenya sy pernah ganti pan nya di store kk,setuju
okey kak infokan saja ya,okey kak infokan saja ya,setuju
jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya?,jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya,setuju
okey kak,okey kak,setuju
kl sudah ada infonya kabarin ya kak,kl sudah ada infonya kabarin ya kak,setuju
kk gmn apa sudah ad infonya?,kk gmn apa sudah ad infonya,setuju
itu yg dri jakarta blm konfirmasi ya?,itu yg dri jakarta blm konfirmasi ya,setuju
bg ini kan harganya 600k kan itu apa saja bg komponen di laptopnya yg di perbaiki yg di lcdnya?,bg ini kan harganya 600k kan itu apa saja bg komponen di laptopnya yg di perbaiki yg di lcdnya,setuju
soalnya mau ngasih tau ortu kan ini diperbaiki jg yg layar hitamnya kan yg ga bisa tampil dn  ga diganti lcd yg baru jadi biar tau apa aja gt yg di ganti,soalnya mau ngasih tau ortu kan ini diperbaiki jg yg layar hitamnya kan yg ga bisa tampil dn ga diganti lcd yg baru jadi biar tau apa aja gt yg di ganti,setuju
engsel laptop kmrn tu yg kata abgnya agak goyang gmn tu kak?,engsel laptop kmrn tu yg kata abgnya agak goyang gmn tu kak,setuju
"ooh oke"" kak perbaiki saja ya disitu nanti kl udh selesai kabarin",ooh oke kak perbaiki saja ya disitu nanti kl udh selesai kabarin,tanya_status
okey kak infokn kl sudah selesai diperbaiki,okey kak infokn kl sudah selesai diperbaiki,tanya_status
jm brp storenya tutup kak?,jm brp storenya tutup kak,setuju
oke bg nanti diambil,oke bg nanti diambil,setuju
Waalaikumsalam oke bang,waalaikumsalam oke bang,setuju
soalnya cuman buat tugas jaa bang,soalnya cuman buat tugas jaa bang,setuju
okee mksih bang harganya sama atau beda bang,okee mksih bang harganya sama atau beda bang,setuju
makasih banyak yaa bangggg,makasih banyak yaa bangggg,setuju
besok udah bisa ambilkan bang,besok udah bisa ambilkan bang,setuju
okee makasihhh banggg,okee makasihhh banggg,setuju
bang malam bisa kan ambilnya,bang malam bisa kan ambilnya,setuju
tutup jam brpa bang,tutup jam brpa bang,umum_teknis
skrg masih buka kh bng,skrg masih buka kh bng,umum_teknis
ok bng saya otw skrg,ok bng saya otw skrg,setuju
gaada obeng bng hehe besok saya ksna ya😅,gaada obeng bng hehe besok saya ksna ya,setuju
Oke bang,oke bang,setuju
"Iya mas, dsini kondisi hujan",iya mas dsini kondisi hujan,setuju
Gmn besok aja saya ke sana mas,gmn besok aja saya ke sana mas,setuju
Saya otw ya mas,saya otw ya mas,setuju
sip,sip,setuju
Ok bang,ok bang,setuju
Oke bang,oke bang,setuju
Masih lama kah download nya bang,masih lama kah download nya bang,setuju
Ngape wa nye nda bise di buka ke,ngape wa nye nda bise di buka ke,umum_teknis
wa nya jak yang dak bise,wa nya jak yang dak bise,setuju
bg hubungi ini ya,bg hubungi ini ya,setuju
okes siap bang,okes siap bang,setuju
saya kesana ya,saya kesana ya,setuju
Waalaikumussalam oke bang,waalaikumussalam oke bang,setuju
Kira2 tutup ny jam berapa ya bang?,kira2 tutup ny jam berapa ya bang,setuju
Oke bang,oke bang,setuju
Okee maksh bang nnti saye ambil,okee maksh bang nnti saye ambil,setuju
"Baik terimakasih kak info nya, tapi saya bisanya besok ngambilnya kak",baik terimakasih kak info nya tapi saya bisanya besok ngambilnya kak,setuju
Okee kak saya ambil di hari jumat ya kak,okee kak saya ambil di hari jumat ya kak,setuju
"Hallo maaf kak, kalau ngambil sekarang bisa nggak kak?. Toko nya tutup jam berapa kak?",hallo maaf kak kalau ngambil sekarang bisa nggak kak toko nya tutup jam berapa kak,setuju
Okee kak makasih infonya,okee kak makasih infonya,setuju
"Bang 
Tutup jam brp toko ny?",bang tutup jam brp toko ny,setuju
"Laptop saye ndk mau hidup bang
Setelah di restart die ndk mau idup
Tpi kipas nye bunyi nyaring",laptop saye ndk mau hidup bang setelah di restart die ndk mau idup tpi kipas nye bunyi nyaring,setuju
Buka setiap hari k bang?,buka setiap hari k bang,umum_teknis
"Okela bang
Nnti saye kesitu klw udh nd ujan",okela bang nnti saye kesitu klw udh nd ujan,setuju
Bang laptop saya udh k?,bang laptop saya udh k,setuju
Saya mau ambil file di dalamnya bang,saya mau ambil file di dalamnya bang,setuju
"Skrg bisa hidup ka bang
Saya mau buka sbntr",skrg bisa hidup ka bang saya mau buka sbntr,setuju
Saya bawa,saya bawa,setuju
Iya bang,iya bang,setuju
"Okela bang nanti saya pikirkan dulu 
Klo laptopnya disiitu dulu ndk apa kan bang?",okela bang nanti saya pikirkan dulu klo laptopnya disiitu dulu ndk apa kan bang,setuju
Klw bisa semua semuanya si kak hm,klw bisa semua semuanya si kak hm,setuju
Iya bang,iya bang,setuju
kira kira jam brapa bisa ambil bang?,kira kira jam brapa bisa ambil bang,umum_teknis
Oke bang,oke bang,setuju
Oke bang,oke bang,setuju
"Okey bang, ntar sore sye ambill",okey bang ntar sore sye ambill,setuju
Bearti masalah laptopnya di processor ya,bearti masalah laptopnya di processor ya,setuju
Okee bang,okee bang,setuju
Jam 12an saya ambil ya,jam 12an saya ambil ya,setuju
"Ok bang, bntr y",ok bang bntr y,setuju
"baik bang, jd besok udh bisa di ambil ya bang",baik bang jd besok udh bisa di ambil ya bang,setuju
oke bang diambil mlm ini aja,oke bang diambil mlm ini aja,setuju
Oke gpp mas,oke gpp mas,setuju
Brrti untuk yg engselnya gak bisa di apa apa in ya?,brrti untuk yg engselnya gak bisa di apa apa in ya,setuju
Oke gppa mas,oke gppa mas,setuju
Iya mas perbaiki aja. Bsok pagi udh bisa di ambil?,iya mas perbaiki aja bsok pagi udh bisa di ambil,setuju
Jam brpa mas kira kira?,jam brpa mas kira kira,umum_teknis
Oke makasih mas,oke makasih mas,setuju
Ok jm 9 ya,ok jm 9 ya,setuju
"Waalaikumsalam, Oke nanti saya ke sana",waalaikumsalam oke nanti saya ke sana,setuju
Oke boleh kak lnjutkan,oke boleh kak lnjutkan,setuju
Iya kak lanjutkan 🙏🏻,iya kak lanjutkan,setuju
Oke kak info jak,oke kak info jak,setuju
"waalaikumsalam bang, besok ya",waalaikumsalam bang besok ya,setuju
ini udh dg jasa matikan keyboard blm ya?,ini udh dg jasa matikan keyboard blm ya,setuju
yg keyboard nya udh d matikan bisa kh bang,yg keyboard nya udh d matikan bisa kh bang,setuju
"oke bang, intinya dak ke tekan"" sendiri",oke bang intinya dak ke tekan sendiri,setuju
besok buka jam brpa ya?,besok buka jam brpa ya,setuju
oke ka tar ya balik ngampus,oke ka tar ya balik ngampus,setuju
Okeee kak,okeee kak,setuju
Buka sampe jam berapa bg,buka sampe jam berapa bg,umum_teknis
Okee kak,okee kak,setuju
Okee bangg,okee bangg,setuju
Okee bg,okee bg,setuju
iyaa kak,iyaa kak,setuju
iya kak,iya kak,setuju
oke kk bsk yaa,oke kk bsk yaa,setuju
saya otw kak,saya otw kak,setuju
"oke bang, agak sore nanti ya bang soalnya lagi kegiatan di luar",oke bang agak sore nanti ya bang soalnya lagi kegiatan di luar,setuju
oke bang,oke bang,setuju
"oke bang, nanti sore saya kesana",oke bang nanti sore saya kesana,setuju
Iyaa bg,iyaa bg,setuju
Kybord nya non aktifkan jak bg,kybord nya non aktifkan jak bg,setuju
Emang udah rusak kybord nya suka error,emang udah rusak kybord nya suka error,setuju
Ok bg,ok bg,setuju
Ok bg,ok bg,setuju
Kalo boleh tau bang kalo semisalnya bongkar biayanya berapa ya bng? Apakah nambah,kalo boleh tau bang kalo semisalnya bongkar biayanya berapa ya bng apakah nambah,setuju
Ohh iya baik bang,ohh iya baik bang,setuju
Ohhh ga bisa yaa bang,ohhh ga bisa yaa bang,setuju
Nanti saya ambil labtob nya,nanti saya ambil labtob nya,setuju
Bang ko labtob nya ga hidup??,bang ko labtob nya ga hidup,setuju
Tapi sekarang pas di cas ndk mau nyala BG laptop nya,tapi sekarang pas di cas ndk mau nyala bg laptop nya,setuju
"Katanya udh dibongkar BG, soalnya segelnya dh kebuka?",katanya udh dibongkar bg soalnya segelnya dh kebuka,setuju
"Boleh kah saya ketempat Abg lagi mastikanya, soalnya ndk bisa hidup ni laptopnya",boleh kah saya ketempat abg lagi mastikanya soalnya ndk bisa hidup ni laptopnya,setuju
Gimana Progress labtob sekarang bang??,gimana progress labtob sekarang bang,tanya_status
"Ohhh baik lhh bng
 Perkiraan butuh berapa lama yaa, sebelum lebaran udah bisa jadi gak bng",ohhh baik lhh bng perkiraan butuh berapa lama yaa sebelum lebaran udah bisa jadi gak bng,tanya_status
Ohhh iyaa lahh bang,ohhh iyaa lahh bang,setuju
"Hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng, kalo besok bisa ga bng datangnya??",hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng kalo besok bisa ga bng datangnya,setuju
Iya bng siap,iya bng siap,setuju
Kalo boleh tau apa masalah dalam labtob tu ya  bang? Lupa saya bng,kalo boleh tau apa masalah dalam labtob tu ya bang lupa saya bng,setuju
Ohh oky lah bang,ohh oky lah bang,setuju
Gimana Progress sekarang bang,gimana progress sekarang bang,tanya_status
Oky bng,oky bng,setuju
Bang bisa minta bukti pembayaran Ndak orang rumah mau Liat tkut sye dibilang bohong pla 😅,bang bisa minta bukti pembayaran ndak orang rumah mau liat tkut sye dibilang bohong pla,setuju
Bng hari ini tutup jam berapa bng?,bng hari ini tutup jam berapa bng,umum_teknis
"Oke, besok pagi saya ambil",oke besok pagi saya ambil,setuju
Toko buka jam berapa ya?,toko buka jam berapa ya,setuju
"Oke, Thankyou",oke thankyou,setuju
Oo gtu ya oke la bg..upgrade lagi aja la bg ke wd 11,oo gtu ya oke la bgupgrade lagi aja la bg ke wd 11,setuju
Oo iya bg file lama apk nya ada di data d bg,oo iya bg file lama apk nya ada di data d bg,setuju
Oke la bg,oke la bg,setuju
Kehapus kayanya,kehapus kayanya,setuju
Okee makasii bg,okee makasii bg,setuju
Jam 9 saye plg bg..mungkin smpai di stu jam 9 lewat gtu bg..,jam 9 saye plg bgmungkin smpai di stu jam 9 lewat gtu bg,umum_teknis
Makasii bnyk ya bg🙏🏻,makasii bnyk ya bg,setuju
Waalaikumussalam oke bang,waalaikumussalam oke bang,setuju
Okee bg,okee bg,setuju
Okelah bg,okelah bg,setuju
Iya bang,iya bang,setuju
Bisa di ambil kapan setelah smua di servis,bisa di ambil kapan setelah smua di servis,tanya_status
Malam ini bisa ya?,malam ini bisa ya,setuju
Iya,iya,setuju
Okey bang,okey bang,setuju
"Bg infokan secepatnya ya kpn bisa di ambil, soalnya lgi butuh 🙏",bg infokan secepatnya ya kpn bisa di ambil soalnya lgi butuh,setuju
Okey bang,okey bang,setuju
Okey bg,okey bg,setuju
maksud saya minta instal kan ke windows pas laptop saya sebelum di install,maksud saya minta instal kan ke windows pas laptop saya sebelum di install,tanya_status
saya benar2 nda ngerti soalnya sama windows 8,saya benar2 nda ngerti soalnya sama windows 8,setuju
ok bg,ok bg,setuju
bg kenapa laptop gini lagi ya,bg kenapa laptop gini lagi ya,setuju
buka sampe jam brp bg,buka sampe jam brp bg,umum_teknis
ambil skrg buka nda bg,ambil skrg buka nda bg,umum_teknis
"Sore bang, anugerah komputer kalau malam tutup jam brpa ya?",sore bang anugerah komputer kalau malam tutup jam brpa ya,setuju
Jadi udah bisa ya kk?,jadi udah bisa ya kk,setuju
Iya kosong,iya kosong,setuju
Itu ada disitu filenya,itu ada disitu filenya,setuju
"Engga, filenya engga kosong, kemarin di download abistu ada pilihan nya, tau2 di buka kosong",engga filenya engga kosong kemarin di download abistu ada pilihan nya tau2 di buka kosong,setuju
Yang penting word ny nda bermasalah lg,yang penting word ny nda bermasalah lg,setuju
【DOCUMENT / BAB III Kelompok.docx】,document bab iii kelompokdocx,setuju
Di laptop saya gamau,di laptop saya gamau,setuju
Jdi udh bisa di ambil ya? Total berapa jadinya kk?,jdi udh bisa di ambil ya total berapa jadinya kk,setuju
Boleh krim norek nya nda,boleh krim norek nya nda,setuju
Bang maaf mau tanya kemarin waktu install ulang semua file yang ada disini ada di backup nda ya?,bang maaf mau tanya kemarin waktu install ulang semua file yang ada disini ada di backup nda ya,setuju
"Alaa bang kenpa nda di bilang kemarin kalau nd bisa, ada beberapa file penting belum di pindah ke D, saya kira backup data semua bisa di pindah ke D🥲",alaa bang kenpa nda di bilang kemarin kalau nd bisa ada beberapa file penting belum di pindah ke d saya kira backup data semua bisa di pindah ke d,tanya_status
"Jurnal2 juga gaada, saya kira udh di masukin ke backup di data d",jurnal2 juga gaada saya kira udh di masukin ke backup di data d,setuju
Klw blh tau jam brp ya tutup nya,klw blh tau jam brp ya tutup nya,setuju
untuk kesalahan ny di situ saja ya kak,untuk kesalahan ny di situ saja ya kak,setuju
jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,setuju
berarti harus di ganti keyboard ny dlu baru bisa di instal ulang kak,berarti harus di ganti keyboard ny dlu baru bisa di instal ulang kak,umum_teknis
maaf kak keyboard ny yg di bawah 550 ribu ada ndak ya kak🙏🏼,maaf kak keyboard ny yg di bawah 550 ribu ada ndak ya kak,setuju
Oke sip bg terimakasih infonya,oke sip bg terimakasih infonya,setuju
Bang laptopnya aku ambil abis ini yaaak,bang laptopnya aku ambil abis ini yaaak,setuju
Ok nanti saya ke sana dulu,ok nanti saya ke sana dulu,setuju
Hari ini tutup jam brp bg,hari ini tutup jam brp bg,umum_teknis
Ok nanti saya ke sana,ok nanti saya ke sana,setuju
Info bg kapan bisa ambil😊,info bg kapan bisa ambil,tanya_status
Iya gitu aja deh mba,iya gitu aja deh mba,setuju
"Mba, laptopnya udah selsau ngk ya?",mba laptopnya udah selsau ngk ya,setuju
Tokonya jam berapa tutup ya mba,tokonya jam berapa tutup ya mba,setuju
Tunggu dulu hujannya redah ya mba,tunggu dulu hujannya redah ya mba,setuju
"Kalau ngk sempat malam ini, besok pagi aja saya ambil",kalau ngk sempat malam ini besok pagi aja saya ambil,setuju
ok,ok,setuju
Berapa biayanya ya bang,berapa biayanya ya bang,setuju
iya bang,iya bang,setuju
okeey,okeey,setuju
"besok ya bang saya ambil, untuk harga bisa d infoin disini ga bang?",besok ya bang saya ambil untuk harga bisa d infoin disini ga bang,setuju
okeyy bang,okeyy bang,setuju
"maaf bang br lihat, kalo ganti hard disk aja gimana bang",maaf bang br lihat kalo ganti hard disk aja gimana bang,umum_teknis
"saya ambil aja dl bang hr ini, nnt kl udh deal sm papa saya br saya kesana lagi",saya ambil aja dl bang hr ini nnt kl udh deal sm papa saya br saya kesana lagi,setuju
oke sep bang,oke sep bang,setuju
kalak la bang insyaallah saye ngambek nye,kalak la bang insyaallah saye ngambek nye,setuju
Windos nya mati.klw bisa hidupkan bng,windos nya matiklw bisa hidupkan bng,setuju
Ok,ok,setuju
Berapa semuanya ongkosnya bang,berapa semuanya ongkosnya bang,setuju
Ok,ok,setuju
Ok lh bang.yg pnting aman,ok lh bangyg pnting aman,setuju
Ok,ok,setuju
1200000 tak dapat sama pengecas ya bng,1200000 tak dapat sama pengecas ya bng,setuju
"bang, kalau ganti batrai brp-an ya?",bang kalau ganti batrai brpan ya,setuju
Oke bang,oke bang,setuju
Ohh iya makasih kak,ohh iya makasih kak,setuju
okee bang,okee bang,setuju
tokonya tutup jam berapa ya?,tokonya tutup jam berapa ya,setuju
oke bang,oke bang,setuju
"jam 3 bisa kah bang,soal nya saya masih ada kuliah",jam 3 bisa kah bangsoal nya saya masih ada kuliah,setuju
Data nya ilang ga klo instal ulang?,data nya ilang ga klo instal ulang,setuju
Bentar bang nanyak mamak lok,bentar bang nanyak mamak lok,setuju
Bang kalo gak jadi saya bayar berapa?,bang kalo gak jadi saya bayar berapa,setuju
"Saya ambil ajaa besok bang, maaf ya bangg budget nya belum adaa",saya ambil ajaa besok bang maaf ya bangg budget nya belum adaa,tanya_status
Oke bg,oke bg,setuju
Okei bg,okei bg,setuju
bg bisa ndk ambil nya besok pas saya plg kuliah aja??,bg bisa ndk ambil nya besok pas saya plg kuliah aja,setuju
okeyy,okeyy,setuju
ok bntr bg,ok bntr bg,setuju
Oke bang,oke bang,setuju
Kalau bisa Senin udh bisa diambil ya bang,kalau bisa senin udh bisa diambil ya bang,setuju
Oke bang,oke bang,setuju
Sekali no rek ya bang,sekali no rek ya bang,setuju
Oke bang besok saya ambil,oke bang besok saya ambil,setuju
Bang untuk pengecas nye tu Ade endk sekalian jual penyambung nye tu,bang untuk pengecas nye tu ade endk sekalian jual penyambung nye tu,setuju
Yg kabel penyambung nye tdik tuu bang,yg kabel penyambung nye tdik tuu bang,setuju
Yang patah tuu,yang patah tuu,setuju
Oke bang,oke bang,setuju
Besok bukak jam brpe bang,besok bukak jam brpe bang,setuju
Oke bang,oke bang,setuju
"halo kak, waktunya berapa hari ya kak kira kira?",halo kak waktunya berapa hari ya kak kira kira,setuju
okeyy baik kak,okeyy baik kak,setuju
iya kak lanjut,iya kak lanjut,setuju
terus gimana ya kak?,terus gimana ya kak,setuju
ada rekomendasi tempat yg bisa nggak ya kak,ada rekomendasi tempat yg bisa nggak ya kak,setuju
berapa ya kak biaya betulin kaya gitu,berapa ya kak biaya betulin kaya gitu,setuju
mahal sekali ya kak huhu,mahal sekali ya kak huhu,setuju
kak boleh minta tolong copotkan ssd penyimpanan nggak? saya mau ambil laptop nya sekarang,kak boleh minta tolong copotkan ssd penyimpanan nggak saya mau ambil laptop nya sekarang,setuju
okey makasih kak,okey makasih kak,setuju
"tapi kayanya diambil besok deh kak, hujan lebat",tapi kayanya diambil besok deh kak hujan lebat,setuju
Maaf bg mau tanya,maaf bg mau tanya,setuju
Laptopnyaa gimna ya bg?,laptopnyaa gimna ya bg,setuju
"Maaf bang mau tanya, laptop nya gimna ya bg?",maaf bang mau tanya laptop nya gimna ya bg,setuju
Ohh okee bang?,ohh okee bang,setuju
Hallo bg maaf mau tanya laptop yg ini gimna ya? Udah selesai blm ya?,hallo bg maaf mau tanya laptop yg ini gimna ya udah selesai blm ya,tanya_status
Bang laptop saya gimna?,bang laptop saya gimna,setuju
"Kalo emng udh nggak bisa dibetulkan biar saya ambil aja, udah lama juga",kalo emng udh nggak bisa dibetulkan biar saya ambil aja udah lama juga,setuju
Okee bang,okee bang,setuju
"Okee kak, kabarin aja nnti ya bg",okee kak kabarin aja nnti ya bg,setuju
Terus itu gimna ya bang,terus itu gimna ya bang,setuju
Nggak bisa ya berarti,nggak bisa ya berarti,setuju
Ohh okee bang,ohh okee bang,setuju
Besok bararti bisa udah saya ambil bang?,besok bararti bisa udah saya ambil bang,setuju
Ohh oke bang,ohh oke bang,setuju
Bang kalo prosecor nya dibetulin nggak bisa juga ya?,bang kalo prosecor nya dibetulin nggak bisa juga ya,setuju
okey bg bntr lagi otw,okey bg bntr lagi otw,setuju
"Owalah, gitu berarti harus ganti baterai ya kak ?",owalah gitu berarti harus ganti baterai ya kak,setuju
Oke kak kalo gitu brarti masi bisa di pakai normal walau tanpa baterai ya yg penting sambil di charger👌,oke kak kalo gitu brarti masi bisa di pakai normal walau tanpa baterai ya yg penting sambil di charger,setuju
Berapa totalnya kak,berapa totalnya kak,setuju
Bang ada jual laptop harga 2 jutaan gk,bang ada jual laptop harga 2 jutaan gk,umum_teknis
"Terimakasihhhh bang, senin yang saya ambilll",terimakasihhhh bang senin yang saya ambilll,setuju
Sistemnya langsung tunai atau bisa nyicil kak,sistemnya langsung tunai atau bisa nyicil kak,setuju
"Oke kak nanti saya kabarin lagi masi mau nyari-nyari laptop secund soalnya, sama mau nabung dulu 🙏",oke kak nanti saya kabarin lagi masi mau nyarinyari laptop secund soalnya sama mau nabung dulu,setuju
Iya kah kak gimana persyaratannya,iya kah kak gimana persyaratannya,setuju
Siiip oke makasi kak,siiip oke makasi kak,setuju
oke bang,oke bang,setuju
bang kalau ganti touchpad tu brp?,bang kalau ganti touchpad tu brp,umum_teknis
bntr ye bang maaf sy tnya ibu sy dlu🙏🏻,bntr ye bang maaf sy tnya ibu sy dlu,setuju
oke bang,oke bang,setuju
nanti saya ambil,nanti saya ambil,setuju
